Name,Role,Comments
Alejandro Gómez Villanueva,Audio Director,
Ana Martorell,"Concept Artist, Illustrator",
Anders August Stavøstrand,"Programmer, Unity Developer",
Bjørn Haugen,"Programmer, Unity Developer, VFX Designer",
Eren Bjørvik Knudsen,"2D Artist, 3D Artist, Concept Artist, Level Designer",
Erle Sofie Moen,"Concept Artist, Designer, Illustrator",
Erlend Kaarigstad,"Programmer, Unity Developer",#Retro
Eva Caitlin Iversen,"2D Artist, Concept Artist",#Retro
Even André Alsos,"VFX Designer, VFX Lead",
Even Steinstad,"Musician, SFX Designer",
Hanna Amalie Lande,3D Artist,
Helene Oldervik Hasselknippe,"Musician, SFX Designer",
Julian Alexander Tokle,"Programmer, Unity Developer",
Kevin Steffensen,3D Artist,
Kristina Hatlem,3D Artist,
Markus M. Lange,"Designer, Programmer, Project Leader",
Mathias Reitan,Lead Programmer,
Mina Skagseth,"2D Artist, Illustrator",
Naphat Halvorsen,Concept Artist,
Odd Simen Sæter Finnvik,Lighting Designer,
Olav RK,VFX Designer,
Sebastian Figenschou,3D Artist,
Simen Basteson,"Programmer, Unity Developer",
Sindre Arnøy,3D Artist,
Thea Engeset,Concept Artist,
Tom Klovholt,Art Director,
Ulrik Tomas Eitvet Schaeffer,"Level Designer, VFX Designer",
Vera Bjordal Jenssen,Concept Artist,
Øystein D. Tømmervåg,"Level Designer, Unity Developer",#Retro
"Markus Risa ","Musician, SFX Designer",
Andreas Karlsen,"Musician, SFX Designer",
Kristian Vinger,"Musician, SFX Designer",
Gard Hagen,Voice Actor,
Mathie Marszalek,"2D Artist, Concept Artist",#Retro